,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
0,0.88,0.85,0.3,0.15,0.06,0.08
1,0.9,0.85,0.32,0.1,0.06,0.06
2,0.93,0.83,0.33,0.16,0.09,0.09
3,0.68,0.81,0.26,0.22,0.07,0.1
4,0.91,0.81,0.35,0.16,0.07,0.08
5,0.85,0.82,0.31,0.18,0.08,0.1
6,0.85,0.83,0.28,0.3,0.1,0.16
7,0.93,0.84,0.34,0.23,0.12,0.14
8,0.88,0.82,0.23,0.01,0.0,0.01
9,0.9,0.84,0.21,0.1,0.04,0.05
10,0.83,0.84,0.29,0.28,0.09,0.14
11,0.89,0.84,0.35,0.19,0.07,0.07
12,0.9,0.83,0.18,0.08,0.03,0.04
13,0.87,0.83,0.24,0.08,0.03,0.05
14,0.89,0.79,0.27,0.13,0.06,0.08
15,0.72,0.84,0.2,0.27,0.08,0.14
16,0.87,0.88,0.4,0.17,0.08,0.09
17,0.73,0.83,0.23,0.25,0.07,0.11
18,0.71,0.86,0.34,0.47,0.1,0.18
19,0.89,0.84,0.32,0.23,0.09,0.11
20,0.81,0.8,0.3,0.14,0.04,0.07
21,0.89,0.85,0.44,0.17,0.07,0.07
22,0.92,0.84,0.38,0.2,0.09,0.1
23,0.94,0.82,0.24,0.13,0.06,0.07
24,0.82,0.85,0.36,0.24,0.1,0.11
25,0.91,0.87,0.45,0.42,0.23,0.22
26,0.85,0.86,0.31,0.13,0.05,0.06
27,0.83,0.84,0.3,0.17,0.06,0.08
28,0.79,0.84,0.3,0.16,0.04,0.08
29,0.92,0.83,0.32,0.2,0.09,0.09
30,0.88,0.83,0.29,0.34,0.12,0.15
31,0.86,0.8,0.23,0.09,0.03,0.04
32,0.84,0.83,0.31,0.29,0.11,0.15
33,0.84,0.82,0.18,0.21,0.05,0.09
34,0.73,0.83,0.23,0.21,0.05,0.09
35,0.81,0.86,0.38,0.3,0.16,0.2
36,0.9,0.83,0.25,0.14,0.05,0.06
37,0.8,0.82,0.23,0.17,0.07,0.09
38,0.65,0.83,0.22,0.23,0.02,0.12
39,0.82,0.84,0.22,0.16,0.04,0.07
40,0.92,0.86,0.44,0.32,0.18,0.18
41,0.88,0.82,0.21,0.06,0.02,0.04
42,0.87,0.81,0.28,0.18,0.07,0.09
43,0.92,0.86,0.31,0.03,0.02,0.02
44,0.81,0.83,0.24,0.1,0.03,0.05
45,0.88,0.83,0.25,0.19,0.06,0.08
46,0.84,0.82,0.31,0.27,0.09,0.13
47,0.85,0.87,0.44,0.17,0.11,0.11
48,0.87,0.83,0.26,0.28,0.08,0.12
49,0.76,0.84,0.3,0.26,0.06,0.11
50,0.86,0.83,0.29,0.17,0.06,0.11
